id,host_is_superhost,host_listings_count,host_identity_verified,latitude,longitude,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,reviews_per_month,host_days_active,first_review_since,last_review_since,kitchen,balcony,bed_linen,breakfast,tv,coffee_machine,cooking_basics,white_goods,elevator,heating,child_friendly,parking,outdoor_space,host_greeting,tub_sauna_or_pool,internet,long_term_stays,private_entrance,secure,fire_fighting_measures,first_aid_kit,dedicated_workspace,lock,essentials,host_verifications_email,host_verifications_work_email,['neighbourhood_cleansed']_Dn Laoghaire-Rathdown,['neighbourhood_cleansed']_Dublin City,['neighbourhood_cleansed']_Fingal,['neighbourhood_cleansed']_South Dublin,['room_type']_Entire home/apt,['room_type']_Hotel room,['room_type']_Private room,['room_type']_Shared room
44077,1,2,1,53.29178,-6.25792,2,1.5,1.0,2.0,70,3,1125,258,4.78,4.83,4.74,4.93,4.93,4.66,4.82,0,1.85,4420.0,4194.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1,0,0,0,0,0,1,0
85156,1,2,1,53.29209,-6.25624,2,1.5,1.0,1.0,67,3,21,210,4.79,4.86,4.74,4.9,4.88,4.64,4.78,0,1.53,4420.0,4129.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1,0,0,0,0,0,1,0
159889,0,3,1,53.39027,-6.23547,1,2.0,1.0,1.0,45,2,21,355,4.74,4.77,4.71,4.86,4.9,4.63,4.74,0,2.78,4091.0,3828.0,11.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0,1,0,0,0,0,1,0
162809,1,2,1,53.28326,-6.19188,6,1.5,2.0,4.0,80,1,12,326,4.84,4.88,4.85,4.95,4.97,4.77,4.85,0,3.68,4088.0,2660.0,12.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1,0,0,0,0,0,1,0
165828,0,5,1,53.33744,-6.32363,5,1.0,1.0,3.0,251,3,365,64,4.63,4.89,4.69,4.81,4.75,4.34,4.55,1,0.48,4085.0,3975.0,76.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0,1,0,0,1,0,0,0
165829,0,5,1,53.33744,-6.32363,5,1.0,1.0,3.0,244,3,365,76,4.69,4.85,4.75,4.78,4.73,4.39,4.59,1,0.59,4085.0,3886.0,28.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0,1,0,0,1,0,0,0
178860,0,2,1,53.33281,-6.2675,2,1.5,1.0,1.0,80,2,4,313,4.88,4.94,4.88,4.95,4.96,4.94,4.84,0,2.57,4069.0,3659.0,389.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0,1,0,0,0,0,1,0
181823,0,2,1,53.3374,-6.22061,1,1.0,1.0,1.0,139,1,1125,50,4.6,4.62,4.47,4.79,4.83,4.47,4.47,0,0.37,4133.0,4043.0,1215.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0,1,0,0,0,0,1,0
237465,0,3,1,53.39558,-6.17524,2,1.5,1.0,3.0,68,1,4,392,4.56,4.71,4.56,4.81,4.79,4.39,4.61,0,3.0,3996.0,3917.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0,1,0,0,1,0,0,0
245903,1,1,0,53.34636,-6.41734,1,1.5,1.0,1.0,30,30,180,43,4.93,4.93,4.9,4.98,5.0,4.66,4.85,0,0.35,3986.0,3661.0,73.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0,0,0,1,0,0,1,0
292757,1,1,1,53.36949,-6.34889,9,2.5,4.0,5.0,121,2,1125,362,4.92,4.91,4.78,4.95,4.95,4.94,4.84,0,2.97,3921.0,3662.0,37.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0,1,0,0,1,0,0,0
302554,0,8,1,53.35681,-6.29094,5,1.0,1.0,3.0,200,2,365,59,4.67,4.72,4.83,4.93,4.9,4.44,4.65,1,0.46,3906.0,3843.0,103.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0,1,0,0,1,0,0,0
302634,0,8,1,53.35681,-6.29094,2,1.0,1.0,2.0,101,2,365,105,4.61,4.69,4.75,4.83,4.91,4.47,4.48,1,0.82,3906.0,3849.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0,1,0,0,1,0,0,0
374792,0,5,1,53.33744,-6.32363,4,1.0,1.0,3.0,212,3,365,35,4.48,4.5,4.59,4.85,4.79,4.41,4.5,1,0.28,4085.0,3724.0,28.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0,1,0,0,1,0,0,0
386860,0,2,1,53.3379,-6.27517,4,1.0,2.0,2.0,164,1,30,92,4.67,4.77,4.52,4.91,4.83,4.77,4.56,0,0.75,3832.0,3682.0,1004.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0,1,0,0,1,0,0,0
393631,0,1,1,53.35764,-6.24171,6,2.0,3.0,3.0,180,3,1125,72,4.87,4.88,4.86,4.93,4.91,4.24,4.65,0,0.59,3829.0,3688.0,2003.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0,1,0,0,1,0,0,0
419987,0,8,1,53.35682,-6.29132,6,1.0,1.0,3.0,240,2,365,145,4.8,4.8,4.85,4.92,4.94,4.5,4.61,1,1.2,3906.0,3610.0,23.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0,1,0,0,1,0,0,0
424596,1,4,1,53.355545,-6.258094,3,1.0,1.0,1.0,155,2,1124,519,4.84,4.92,4.91,4.89,4.88,4.62,4.75,0,4.16,3807.0,3739.0,15.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0,1,0,0,1,0,0,0
426326,0,3,1,53.39027,-6.23547,3,2.0,1.0,2.0,60,3,21,254,4.61,4.78,4.49,4.83,4.84,4.56,4.61,0,2.04,4091.0,3732.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0,1,0,0,0,0,1,0
