id,neighborhood_overview,host_is_superhost,host_listings_count,host_identity_verified,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,reviews_per_month,kitchen,balcony,bed_linen,breakfast,tv,coffee_machine,cooking_basics,white_goods,elevator,heating,child_friendly,parking,outdoor_space,host_greeting,tub_sauna_or_pool,internet,long_term_stays,private_entrance,secure,fire_fighting_measures,first_aid_kit,dedicated_workspace,lock,essentials,host_verifications_email,host_verifications_work_email,host_days_active
44077,"I like our neighbourhood as there is no shortage of things to do ,there is a large Park nearby ,plus  loads of restaurants and pubs & supermarkets  ,<br />Everything is available a short walk away ,<br /><br />The sea and the mountains are not far away and neither is the city it's 6 kilometres away ,all easily accessable <br />We are in a great location to explore the city & it's environs",1,2,1,Dn Laoghaire-Rathdown,53.29178,-6.25792,Private room,2,1.5,1.0,2.0,70,3,1125,258,31,7,4.78,4.83,4.74,4.93,4.93,4.66,4.82,0,1.85,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,4420.0
85156,"I love Dundrum and its surrounding areas ,<br />There is a huge Shopping Mall 10 mins walk from here with an enormous array of restaurants ranging from Jamie Oliver's  to Mexican ,Thai Tapas Bars  ,Italian   there is a great variety of shops ,Harvey Nicholls ,Michael Kors ,,Hollister ,too many to mention & some good pubs too where you can hear some nice music <br />There are great transport links nearby ,great access to everywhere we are very near the city 4 miles away ,the mountains are about 8 miles away and the sea is 4 miles , the M50 is just around the corner what's not to like about that ?<br />There are some lovely villages nearby  ,Enniskerry is a lovely little village at the foot of the Dublin mountains & has a beautiful Palladian mansion & gardens worth visiting ,there is a bus locally that will take you there <br />Ranelagh is noted as a foodie village its about 2 miles from here & has some really good restaurants,<br />If you want to go to the sea you can take the 75 bus lo",1,2,1,Dn Laoghaire-Rathdown,53.29209,-6.25624,Private room,2,1.5,1.0,1.0,67,3,21,210,28,4,4.79,4.86,4.74,4.9,4.88,4.64,4.78,0,1.53,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,4420.0
159889,Plenty of buses into the city and the area is pleasant and quiet,0,3,1,Dublin City,53.39027,-6.23547,Private room,1,2.0,1.0,1.0,45,2,21,355,44,6,4.74,4.77,4.71,4.86,4.9,4.63,4.74,0,2.78,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,4091.0
162809,"Close to the sea, hill walks and the city - via bus and car. It is a quiet neighborhood and my neighbors are friendly too.",1,2,1,Dn Laoghaire-Rathdown,53.28326,-6.19188,Private room,6,1.5,2.0,4.0,80,1,12,326,41,1,4.84,4.88,4.85,4.95,4.97,4.77,4.85,0,3.68,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,4088.0
165828,"Enjoy a walk along the grand canal, or just observe the swans and ducks as they eagerly await some feeding.<br />Kilmainham Gaol is just a 15 minute walk from our apartment as is the Royal Hospital Kilmainham which hosts the Irish Museum of Modern Art. Take a stroll through the War Memorial Gardens and for those energetic enough, cross over to the Phoenix Park where you can enjoy a hosts of relaxing acitivites or a cycle around the park.",0,5,1,Dublin City,53.33744,-6.32363,Entire home/apt,5,1.0,1.0,3.0,251,3,365,64,17,0,4.63,4.89,4.69,4.81,4.75,4.34,4.55,1,0.48,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,4085.0
165829,"15 minute walk from 'The Dublin', Dublin Discovery Trail,commencing at The Royal Hospital, Kilmainham, Ireland's oldest public building dating back to 1684 and Kilmainham Gaol and Museum. We are a short walk from the War Memorial Gardens and the Phoenix Park. The Liberties with Guinness storehouse is within walking distance or a 5 minute bus ride. Local bus route (No 13, 40, 69 bus) - 1 min Luas tram red line, 5 minute walk. Phoenix Park - 30 mins walk Dublin Zoo - 40 min walk or 5 min bus. Car rental office - Walker Vehicles Rentals Ltd - 10mins Black Lion Pub (one of the best pubs in Dublin) - 3 mins Irish Museum of Modern Art - 15 mins Kilmainham Gaol - 15 mins Guinness Storehouse - 30 mins walk, 5 mins bus. Smithfield - 40 min walk, 10 mins by luas.",0,5,1,Dublin City,53.33744,-6.32363,Entire home/apt,5,1.0,1.0,3.0,244,3,365,76,20,1,4.69,4.85,4.75,4.78,4.73,4.39,4.59,1,0.59,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,4085.0
178860,"Our Portobello neighbourhood is an eternally up and coming area with cool cafes, pubs, restaurants and music venues.   It is a relatively safe and quiet, well-kept residential area within the hub of the city centre with loads of sites and happenings within easy reach.  It is ethnically and economically diverse making for real and dynamic city living.  On our street, you will find a Michelin star restaurant, The Camden Kitchen, plus many wonderful breakfast cafes in the area.  We live next to the old Jewish neighbourhood complete with Bretzel Bakery and the Jewish Heritage Museum.  We are very happy here!",0,2,1,Dublin City,53.33281,-6.2675,Private room,2,1.5,1.0,1.0,80,2,4,313,0,0,4.88,4.94,4.88,4.95,4.96,4.94,4.84,0,2.57,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,4069.0
181823,"My neighbourhood is very safe, friendly  and old fashioned . The village is Victorian with shops, pubs ,bank,restaurant ,shops it's ten mins walk. The beach  and nature park is across the road , swimming pool and gym  5 mins  away. Best is the neighbours , so kind .",0,2,1,Dublin City,53.3374,-6.22061,Private room,1,1.0,1.0,1.0,139,1,1125,50,0,0,4.6,4.62,4.47,4.79,4.83,4.47,4.47,0,0.37,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,4133.0
237465,We live in a quiet safe neighbourhood and we are only ten minutes from Dublin airport.,0,3,1,Dublin City,53.39558,-6.17524,Entire home/apt,2,1.5,1.0,3.0,68,1,4,392,90,8,4.56,4.71,4.56,4.81,4.79,4.39,4.61,0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3996.0
245903,Quiet residential area with good shopping amenities close by.,1,1,0,South Dublin,53.34636,-6.41734,Private room,1,1.5,1.0,1.0,30,30,180,43,3,0,4.93,4.93,4.9,4.98,5.0,4.66,4.85,0,0.35,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,3986.0
